EmploymentSector,ManageStaff,Gender,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Private business,No,Female,140779.7821539363,146059.56259525457,151339.34132395533,156619.11834003916,161898.89364350663,167178.66723435826,172458.4391125946,177738.20927821624,183017.9777312237,188297.7444716176
Private business,No,Male,136418.8729186675,136837.7456319512,137256.6181398512,137675.49044236756,138094.36253950043,138513.23443124988,138932.106117616,139350.97759859893,139769.84887419874,140188.71994441553
Private business,Yes,Female,139418.95071967432,143362.91808510694,140301.5664387398,142677.8218775793,140833.34578894862,142265.04878935995,141153.74488359416,142016.35142322944,141346.78656490313,141866.51030789156
Private business,Yes,Male,164439.98206654005,160000.02327960785,164439.95878705426,160000.04655897157,164439.9355078126,160000.06983809118,164439.91222881505,160000.0931169667,164439.8889500616,160000.11639559807
